,entity,frequency
0,chronic lymphocytic leukemia,1102
1,cancer adults amp,373
2,new article,284
3,new trial,250
4,refractory chronic lymphocytic leukemia,216
5,chronic lymphocytic leukemia cll,177
6,high risk,163
7,powerful new kind cancer drug,162
8,fda approves,159
9,available placebo,155
10,new uses,155
11,new research study,152
12,roche mabtherea shot,121
13,new drug chronic lymphocytic leukemia patients,120
14,need pickup,120
15,chronic lymphocytic,113
16,long term,92
17,area placebo,91
18,astrazeneca calquence,90
19,patients chronic lymphocytic leukemia,88
20,small lymphocytic lymphoma,85
21,free survival,82
22,new data,82
23,mutations chronic lymphocytic leukemia,79
24,obiujz nkl,69
25,venetoclax rituximab,67
26,cll research,66
27,new solutions explores cll treatment expert jeff sharman check nxlk,65
28,effective chronic lymphocytic leukemia venetoclax,61
29,chronic lymphocytic leukemia cll hypogammaglobulinemia,58
30,cll medication,49
31,covid patients,49
32,interview furman,48
33,chronic lymphocytic leukemia patients,47
34,bcl venetoclax,47
35,chronic lymphocytic leukemia mutations,47
36,cancer drugs,46
37,cll patients,45
38,calquence acalabrutinib,43
39,generation treatments,43
40,cello group plc,41
41,exclusive astrazeneca calquence shows,40
42,mantle cell lymphoma,39
43,car cell therapy,39
44,refractory chronic lymphocytic,38
45,new placebo,38
46,imbruvica ibrutinib,37
47,patterns chronic lymphocytic leukemia growth,37
48,small lymphocytic lymphoma sll,35
49,btk inhibitors,35
50,survival benefit venetoclax rituximab,35
51,refractory cll persists,35
52,years onclive december patients,35
53,phase trial,34
54,cello health plc,33
55,susan leclair,33
56,clinical trials,32
57,amp register,32
58,calquence shows,31
59,aqpuk calquence treatment mantle cell lymphoma mcl adult patients,31
60,blood cancers,31
61,new study,31
62,acalabrutinib acp,31
63,chronic lymphocytic cll,31
64,synergy project bcllatlas multi omic single cell characterisation cells chronic lymphocytic leukaemia,31
65,cancer drug,30
66,primary completion date,30
67,hif alpha antibody,30
68,show distinct activities glycolytic enzymes identify chronic lymphocytic leukemia patients,30
69,global api manufacturers,30
70,treatment options,29
71,refractory chronic lymphocytic leukemia cll,29
72,adverse events,28
73,clinical trial,28
74,convenient oral day capsule,27
75,new drug,27
76,fda approves astrazeneca calquence,27
77,elderly patients,27
78,scan results cup,27
79,cell chronic lymphocytic leukemia,27
80,relative risk reduction disease progression death gcib obinutuzumab chlorambucil,26
81,small lymphocytic lymphoma sll prescription oral day capsule,26
82,focus lifestyle,26
83,new clinical trial,26
84,early data,26
85,novel agents,26
86,abbvie announces,26
87,calquence adult,25
88,chronic lymphocytic leukaemia,25
89,standard care,25
90,light btk blockbuster,25
91,fda grants,25
92,peninsula company,25
93,acute myeloid leukemia,25
94,chronic lymphocytic leukemia cells,25
95,positive amp,25
96,trial xbsshnati,25
97,option click,25
98,safety tolerability profile calquence,24
99,final results,24
100,small lymphocytic lymphoma cll sll,24
101,convenient oral,23
102,day capsule,23
103,refractory cll,23
104,ibrutinib venetoclax,23
105,study shows,23
106,torneo clausura fecha,23
107,free nrndfbvt,23
108,new potential option,23
109,long term efficacy tolerability,22
110,small group,22
111,clinical activity acalabrutinib,22
112,fda approves imbruvica ibrutinib,22
113,drug combo heralds,22
114,effective front line therapy,22
115,aqpuk study chronic lymphocytic leukemia cll patients calquence obinutuzumab,21
116,time patients,21
117,common side,21
118,line treatment,21
119,experimental drug,21
120,chemo experience resources vmhxdueqf,21
121,phase study bruton tyrosine kinase inhibitor acalabrutinib,20
122,pembrolizumab patients,20
123,therapy cukbfperj,20
124,international collaboration approves,20
125,new therapies,20
126,multiple myeloma,20
127,new treatments,20
128,therapeutics announces,20
129,years patients,19
130,new drugs,19
131,treatment patients,19
132,annual meeting,19
133,durable responses,19
134,disease progression,19
135,new agents,19
136,orphan drug designation europe,19
137,cell therapy,19
138,jennifer woyach,19
139,car cells,19
140,nicole lamanna,19
141,small lymphocytic,19
142,ash insights,19
143,oral therapies,19
144,brief genmab fda approves arzerra treatment,19
145,grande aquel que nunca falla sino que nunca por vencido ganar,19
146,abbvie reports phase results venetoclax,19
